outrun|(1, [138622])
extort|(4, [33290, 152253, 272715, 344092])
ache|(2, [169562, 182181])
lofty|(1, [260935])
need|(33, [24742, 35776, 44446, 56693, 60795, 62542, 64572, 71115, 102284, 104296, 105171, 108009, 112224, 119741, 130729, 130737, 143992, 148853, 152907, 157622, 158108, 158119, 159853, 255924, 269476, 275784, 279421, 294323, 301321, 316251, 356240, 358852, 360184])
chase|(3, [29204, 248436, 264350])
east|(3, [157737, 243245, 274174])
acute|(1, [322536])
feign|(1, [201002])
whence|(1, [238450])
delight|(10, [37748, 113809, 115514, 153734, 154046, 164347, 231602, 263139, 334679, 341044])
accept|(10, [52306, 53274, 89762, 134850, 147776, 258497, 264637, 293194, 308766, 347297])
agree|(33, [43431, 44931, 44995, 47183, 97222, 109131, 109504, 110648, 111442, 146417, 180003, 180263, 192699, 194407, 197851, 198105, 201147, 206118, 212066, 212436, 220156, 232782, 245700, 264772, 265387, 267489, 287976, 291692, 299161, 304164, 308750, 315599, 358870])
en|(1, [266576])
lie|(121, [2588, 7230, 7957, 12428, 13165, 17787, 24021, 25295, 30066, 30356, 35362, 35710, 38314, 38434, 42987, 43658, 63516, 65505, 66547, 67507, 67564, 70604, 71002, 75193, 75389, 86066, 86593, 86955, 94800, 100486, 116134, 117388, 118831, 120189, 123137, 125576, 136182, 144852, 146467, 146648, 148436, 148800, 149373, 150422, 150490, 151452, 154148, 154213, 158917, 159850, 162391, 168468, 168599, 168748, 176053, 176173, 176207, 181451, 183152, 183713, 184734, 185264, 186587, 187321, 189100, 190486, 191005, 191739, 192462, 194258, 195039, 195877, 196003, 198924, 199551, 200406, 200488, 201795, 201930, 202578, 203475, 203926, 203982, 205019, 205682, 206664, 207158, 209343, 210793, 215229, 216475, 216841, 219699, 222607, 222986, 223667, 223761, 229423, 232206, 235020, 237859, 254985, 268693, 274513, 277576, 291499, 300183, 300396, 312402, 332827, 333057, 341289, 342272, 346303, 346546, 346639, 346871, 347063, 353704, 356789, 359211])
indent|(1, [172958])
stalking|(1, [331302])
